route_no,total_demand,required_buses,bus_stops_covered
18P,1465,36,"HIGH COURT, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE, VELACHERY HOSPITAL"
18S,1477,36,"TAMBARAM, KANNADAPALAYAM,  PAZHANTHANDALAM,  ETTAYAPURAM,  SOMANGALAM RD JN/N.V.R.D.,  POONTHANDALAM, SOMANGALAM"
19D,483,12,"ADAYAR B.S., ADAYAR DEPOT,  LATTICE BRIDGE,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SOZHINGANALLUR P.U.OFFICE,  SOZHINGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  NUCLEUS COMPANY, CHEMMANCHERY S.C.B."
21B,1478,36,"BROADWAY, CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  VENGATAPURAM, MENAMBEDU"
21C,1472,36,"BROADWAY, CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  ORAGADAM O.T., ORAGADAM"
21E,1468,36,"AMBATHUR ESTATE, DUNLOP,  AYYAPPA NAGAR, AYAPAKKAM"
21H,1467,36,"PERIYAR BRIDGE, EGMORE,  T.B.INSTITUTE,  TAYLORS ROAD,  AMINIJIKARAI,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  MOGAIPAIR ROAD JN.,  MOGAIPAIR ROAD JN.,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  VENGATAPURAM, KARAKKU"
21E,1462,36,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  FORE SHORE ESTATE,  A.M.S.HOSPITAL,  ADAYAR B.S.,  ENG.COLLEGE,  ENG.COLLEGE,  CONCORDE,  GUINDY R.S,  BUTT ROAD, NANDAMBAKKAM"
21EET,979,24,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  FORE SHORE ESTATE,  A.M.S.HOSPITAL,  ADAYAR B.S.,  ENG.COLLEGE,  ENG.COLLEGE,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM / MARI AMMN,  PORUR, AYYAPPAN THANGAL"
21F,1457,36,"EGMORE, ANNA ROAD P.O./DAMS ROAD,  WESLEY H.S,  Y.M.I.A,  MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR O.T.,  ADAYAR DEPOT,  ADAYAR DEPOT,  LATTICE BRIDGE,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  EASWARAN TEMPLE/PTC QRTS., KANNAGI NAGAR S.C.BOARD"
