route_no,total_demand,required_buses,bus_stops_covered
53S,1458,36,"C.M.B.T., KOYAMBEDU P.S,  KOYMABEDU MARKET,  NERKUNDRAM,  MADURAVOYAL,  VAANAGARAM,  VELAPPANCHAVADI,  THIRUVERKADU,  SUNDARASOZHAPURAM,  PARUTHIPATTU RD. JN.,  METTUPALAYAM,  AYALCHERY,  ANAICUTCHE,  THANDARAI, PATTABIRAM"
54A,1455,36,"POONAMALLEE, VARADARAJA PURAM,  THIRUMALISAI,  VELLAVEDU,  ANDERSONPET,  PUTHUCHATHIRAM,  KOTYAMEDU,  KOSAPALAYAM,  THIRUNINDRAVOOR, THIRUNINDRAVOOR RLY.STN."
54P,1447,36,"C.M.B.T., KOYAMBEDU SCHOOL,  NERKUNDRAM,  MADURAVOYAL,  VAANAGARAM,  VELAPPANCHAVADI,  KUMUNANCHAVADI,  POONAMALLEE,  VARADARAJA PURAM, MEPPUR"
54S,1477,36,"T.NAGAR, SAIDAPET,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI,  POONAMALLEE,  LAKSHMIPURAM JN./AROBINDO,  THANGAL ERIKKARAI, VADAKKU MALAIAMBAKKAM"
54T,1469,36,"HIGH COURT, CENTRAL,  PERIYAR BRIDGE,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM / MARI AMMN,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI,  POONAMALLEE,  VARADARAJA PURAM, CHEMBARAMBAKKAM"
54V,978,24,"POONAMALLEE, VARADARAJA PURAM,  THIRUMALISAI,  VELLAVEDU,  ANDERSONPET,  PUTHUCHATHIRAM,  PERIYA KOTTAMEDU,  RAMASAMY NAGAR,  PERUMALPATTU,  SRI RAM ENGG.COLLEGE, POONAMALLEE"
56,1476,36,"BROADWAY, PARRYS,  CLIVE BATTERY,  V. NAGAR,  THEAGARAYA COLLEGE,  TONDAIAYRPET,  THANGAL,  THIRUVOTRIYUR TEMPLE,  THIRUVETRIYUR B.S,  ERNAVOOR GATE,  SATHIYAMOORTHY NAGAR, KARGIL NAGAR"
56A,1457,36,"V. NAGAR, THEAGARAYA COLLEGE,  TONDAIAYRPET,  THANGAL,  THIRUVOTRIYUR TEMPLE,  THIRUVETRIYUR B.S,  I.C.I.,  ASHOK LEYLAND MARK.DIV.,  KOTHARI,  THAZHANKUPPAM, ENNORE"
56C,979,24,"BROADWAY, UNIVERCITY CLUB,  THAMBUCHETTY ST,  ROYAPURAM P.S,  TONDAIAYRPET,  THANGAL,  THIRUVOTRIYUR TEMPLE, THIRUVETRIYUR B.S"
56CET,978,24,"POONAMALLEE, VARADARAJA PURAM,  THIRUMALISAI,  VELLAVEDU,  ANDERSONPET,  PUTHUCHATHIRAM,  PERIYA KOTTAMEDU,  RAMASAMY NAGAR,  PERUMALPATTU,  SRI RAM ENGG.COLLEGE, POONAMALLEE"
56K,1457,36,"TOLLGATE, THANGAL,  THIRUVOTRIYUR TEMPLE,  THIRUVETRIYUR B.S,  ERNAVOOR GATE,  SATHIYAMOORTHY NAGAR,  JN., OF PONNERI RD, &ERANOO,  ANDAKUPPAM,  ARIYALUR,  THEYAMPAKKAM,  VELANGADUPAKKAM,  CHETTIMEDU,  VADAPERUMBAKKAM,  GRAND LINE, RED HILLS"
56M,1457,36,"V. NAGAR, THEAGARAYA COLLEGE,  TONDAIAYRPET,  THANGAL,  THIRUVOTRIYUR TEMPLE,  THIRUVETRIYUR B.S,  ERNAVOOR GATE,  SATHIYAMOORTHY NAGAR,  JN., OF PONNERI RD, &ERANOO,  ANDAKUPPAM,  ECHANKUZHI,  AMMAN KULAM, VICHOOR"
56N,1474,36,"BROADWAY, PARRYS,  CLIVE BATTERY,  ROYAPURAM P.S,  ANNA NAGAR,  BURMAH SHELL PETROL BUNK,  BUILDERS INDUSTRY,  CORBORUNDUM UNIVERSAL,  I.C.I.,  ASHOK LEYLAND MARK.DIV.,  KOTHARI,  THAZHANKUPPAM, ENNORE"
56P,1471,36,"BROADWAY, PARRYS,  CLIVE BATTERY,  V. NAGAR,  THEAGARAYA COLLEGE,  TONDAIAYRPET,  THANGAL,  THIRUVOTRIYUR TEMPLE, THIRUVETRIYUR B.S"
57CCT,1447,36,"RED HILLS, AZHINJIVAKKAM RD.JN.,  KUMMANUR,  BUDUR,  ARUMANDAI RD.JN.,  PUDUKUPPAM, GNAYARU"
57D,1467,36,"BROADWAY, PARRYS,  CLIVE BATTERY,  V. NAGAR,  VYASARPADI,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM,  CYCLE SHOP,  KAVANGARAI,  AAYURVEDA ASHRAMAM,  RED HILLS,  PAMMADU KULAM RD.JN.,  JN.OF RACE COURSE RD,  ALAMADHI OLD,  DRY CATTLLE FORM,  ALAMADHI,  AMBEDKAR NAGAR, POOCHIATHIBEDU"
57E,1464,36,"RED HILLS, PADIYANALLUR,  SEMILIVARAM,  JN.OF.ORAKADU RD & S/VARA,  SOZHIPALAYAM,  ORAKKADU,  BUDUR,  ARUMANDAI RD.JN.,  THIRUNILLAI RD.JN.,  THIRUNILLAI WATER TANK, VICHOOR"
57F,1472,36,"BROADWAY, PARRYS,  CLIVE BATTERY,  V. NAGAR,  VYASARPADI,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM,  CYCLE SHOP,  KAVANGARAI,  AAYURVEDA ASHRAMAM,  RED HILLS,  PADIYANALLUR,  SEMILIVARAM,  SHOLAVARAM, KARANODAI"
61,1481,37,"BROADWAY, CENTRAL,  PERIYAR BRIDGE,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  PAMMAL, ANAKAPUTHUR"
61A,1468,36,"HIGH COURT, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  PAMMAL,  ANAKAPUTHUR,  ANDAKUPPAM,  KUNDRATHUR B.S, KUNDRATHUR MURUGAN TEMPLE"
61D,1474,36,"BROADWAY, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  PAMMAL, KAMARAJAPURAM"
61H,1471,36,"BROADWAY, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  PAMMAL,  PAMMAL SANKAR NAGAR, SRI SANKARA HEALTH CENTRE"
61E,1485,37,"BROADWAY, CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC,  AVADI CIRCLE,  KOILPATHAGAI RD.JN.,  H.V.F.MAIN GATE,  AAFS CROSS ROAD,  VENGAL CROSS ROAD,  VEERAPURAM,  ARAKKAMBAKKAM,  PANDESWARAM,  KADHAVOOR RD.JN., KILKONDAIYUR"
61ECT,986,24,"KOYMABEDU MARKET, KOYAMBEDU P.S,  KOYAMBEDU SCHOOL,  THIRUMANGALAM,  MOGAIPAIR ROAD JN.,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC,  AVADI CIRCLE,  KOILPATHAGAI RD.JN.,  H.V.F.MAIN GATE,  AAFS CROSS ROAD,  VENGAL CROSS ROAD,  VEERAPURAM RD JN.,  ARAKKAMBAKKAM,  PANDESWARAM,  KADHAVOOR RD.JN., KILKONDAIYUR"
61K,1472,36,"AVADI, KOILPATHAGAI RD.JN.,  H.V.F.MAIN GATE,  C.R.P.F,  VENGAL CROSS ROAD,  VEERAPURAM, KANNIAMMAN NAGAR"
61R,1477,36,"AVADI, KOILPATHAGAI RD.JN.,  KOILPATHAGAI(BHARATHI NAG,  VALLANUR P.U.O,  KOLLUMEDU,  ARIKAMBEDU,  KATTUR ROAD JN.,  LAKSHMIPURAM SCHOOL,  KONIMEDU,  PAMMADUKULAM COLONY, RED HILLS"
64C,1473,36,"BROADWAY, CENTRAL,  DOVETON,  P1.POLICE STATION,  VYASARPADI,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM POST BOX,  MADHAVARAM MILLK COLONY,  MANALAI SEEKADU, MANALI"
64D,1485,37,"BROADWAY, PARRYS,  CLIVE BATTERY,  V. NAGAR,  THEAGARAYA COLLEGE,  TONDAIAYRPET,  THANGAL,  ELLAIAMMAN KOIL,  T.V.T RLY GATE,  MANALI RD JN.,  MANALAI SEEKADU,  KOSAPUR RD. JN., , KOSAPPUR"
64P,1461,36,"PERAMBUR B.S, MOOLAKADAI,  MADHAVARAM POST BOX,  MADHAVARAM MILLK COLONY,  MANALAI SEEKADU,  MANALI RD JN.,  JN., OF PONNERI RD, &ERANOO,  ANDAKUPPAM,  ECHANKUZHI,  NAPALAYAM,  KONDAKKARAI,  PATTAMANDIRI,  MINJUR B.D.O, MINJUR NEW TERMINUS"
65,1471,36,"POONAMALLEE, KARAYANCAHVADI,  SENNEERKUPPAM,  MELPAKKAM,  GOVARDANAGIRI,  AVADI MOSQUE, AVADI"
65H,1475,36,"RED HILLS, PAMMADUKULAM,  JN.OF RACE COURSE RD,  ALAMADHI OLD,  DRY CATTLLE FORM,  ALAMADHI,  AMBEDKAR NAGAR,  POOCHIATHIBEDU,  GURUVOYAL KARANIBATTAI,  MAGARAL KANDIGAI,  TAMARAIPAKKAM,  KASANOOR,  KESAVA CROSS ROAD,  PAKKAM,  NASIC NAGAR,  THIRUNINDRAVOOR,  NEMILICHERI,  PATTABIRAM,  KAVARAIPALAYAM, AVADI"
66,1461,36,"TAMBARAM, T.B.SANATORIUM,  CHROMPET,  PALLAVARAM,  PAMMAL,  ANAKAPUTHUR,  ANDAKUPPAM,  KUNDRATHUR B.S,  KOLLAICHERI,  SIKKARAVARAM,  MANGADU,  KUMUNANCHAVADI, POONAMALLEE"
66A,1466,36,"HASTHINAPURAM, KUMARAN KUNDRAM,  CHROMPET,  PALLAVARAM,  PAMMAL,  ANAKAPUTHUR,  ANDAKUPPAM, KUNDRATHUR B.S"
71C,976,24,"KOYMABEDU MARKET, KOYAMBEDU P.S,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM, TAMBARAM"
71,984,24,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  KILPAUK GARDEN,  ICF ANNEXE,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP, AMB OT"
71C,1468,36,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  KILPAUK GARDEN,  ICF ANNEXE,  NATHAMUNI TALKIES, SIDCO NAGAR"
71D,1466,36,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  KILPAUK GARDEN,  ICF ANNEXE,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT, PUDUR"
71F,1467,36,"HIGH COURT, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  KILPAUK GARDEN,  ICF ANNEXE,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  KANNAN THEATER, SENTHIL NAGAR"
88M,1476,36,"BROADWAY, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM,  PORUR,  MOULIVAKKAM,  PERIYAPANICHERI,  THANDALAM RD JN.,  KUNDRATHUR B.S,  SIRUKALATHUR,  ALAGESA NAGAR,  SOMANGALAM RD JN/N.V.R.D.,  POONTHANDALAM, SOMANGALAM"
A45B,1455,36,"ANNA SQUARE, TRIPLICANE,  V.HOUSE,  Y.M.I.A,  LUZ,  F.C.I OLD,  S.H.B,  SAIDAPET,  CONCORDE, GUINDY TVK ESTATE"
B29N,1474,36,"PERIYAR NAGAR, AGARAM,  VEENUS,  JAMALAYA,  DASAMAHAN,  DOVETON,  LADY MCTM SCHOOL/MILLERS,  K.M.C,  STERLING Rd/METEOROLOGY D,  D.M.S,  PONDY BAZAAR,  T.NAGAR,  SAIDAPET,  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE, VELACHERY"
D71ET,1475,36,"PATTABIRAM, KAVARAIPALAYAM,  AVADI,  POLYTECHNIC,  THIRUMULLAIVOAYL,  AMB OT,  DUNLOP,  AMBATHUR ESTATE,  MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  GUINDY TVK ESTATE,  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE, VELACHERY"
L18,986,24,"BROADWAY, Timings - Koymabedu Market to Tambaram,  Timings - Manivakkam to Tambaram,  14.28,  Timings - Mudichur to Koymabedu Market,  8.31,  Timings - Tambaram to Manivakkam,  13.53,  Timings - Tambaram to Mudichur,  BROADWAY,  CENTRAL,  PERIYAR BRIDGE,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM,  TAMBARAM,  TAMBARAM TOWN LIMIT,  PERUNGALATHUR (OLD), MUDICHUR VILLAGE"
L25GNS,1466,36,"ANNA SQUARE, V.HOUSE,  ROYAPETTA HOSPITAL,  GEMINI P.H,  VETERINARY HOSPITAL,  BHARATHI NAGAR(PERIYAR PA,  TRUSTPURAM,  VADAPALANI B.S,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI, POONAMALLEE"
LT51NS,1472,36,"TAMBARAM EAST, CONVENT,  MAHALAKSHMI NAGAR,  S.I.V.E.T,  JN.OF.VLY-TBM RD&MVKM-K.K,  PALLAVAN NAGAR,  PERUMBAKKAM LIMIT,  SOZHINGANALLUR P.U.OFFICE,  KARAPAKKAM,  MOOTAKARAN CHAVADI,  THORAPPAKKAM TEA SHOP,  KANDANCHAVADI,  LATTICE BRIDGE, THIRUVANMIYUR"
M11A,1453,36,"THIRUVETRIYUR B.S, THIRUVOTRIYUR TEMPLE,  THANGAL,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  CENTRAL,  P.OR & SONS,  WESLEY H.S,  Y.M.I.A,  DEVANATHAN ST / MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR O.T.,  ADAYAR DEPOT, THIRUVANMIYUR"
M14,973,24,"N.G.O.COLONY, 6.17,  7.52,  9.44,  11.49,  13.58,  15.37,  17.39,  21.16,  Timings - Medavakkam JN. to Saidapet,  8.22,  16.16,  22.11,  Timings - Medavakkam Koot to N.G.O.Colony,  8.35,  Timings - Medavakkam Koot to Saidapet,  11.17,  Timings - Medavakkam Koot to ST Thomas Mount,  18.17,  Timings - N.G.O.Colony to Madavakkam JN.,  5.51,  7.31,  9.12,  11.17,  13.16,  15.15,  16.47,  18.54,  Timings - N.G.O.Colony to Medavakkam Koot,  9.17,  Timings - Saidapet to Medavakkam JN.,  6.11,  13.45,  21.16,  Timings - Saidapet to Medavakkam Koot,  7.31,  Timings - ST Thomas Mount to Medavakkam Koot,  18.44,  N.G.O.COLONY,  ST THOMAS MOUNT R.S,  VANUVAMBEDU,  MADIPAKKAM RD. JN.,  KILKATTALAI,  VELLAIKAL, MEDAVAKKAM JN."
M15,968,24,"MYLAPORE, DEVANATHAN ST / MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR B.S.,  ADAYAR DEPOT,  LATTICE BRIDGE,  I.R.T. RD.JN.,  VELACHERY,  MADIPAKKAM RD. JN.,  NARAYANAPURAM,  MEDAVAKKAM COLONY, MEDAVAKKAM"
M151K,1471,36,"TAMBARAM EAST, CONVENT,  MAHALAKSHMI NAGAR,  S.I.V.E.T,  JN.OF.VLY-TBM RD&MVKM-K.K,  PALLAVAN NAGAR,  PERUMBAKKAM LIMIT,  SOZHINGANALLUR P.U.OFFICE,  KARAPAKKAM,  MOOTAKARAN CHAVADI,  THORAPPAKKAM P.T.C COLONY, KANNAGI NAGAR S.C.BOARD"
M153,1458,36,"C.M.B.T., KOYAMBEDU P.S,  KOYMABEDU MARKET,  NERKUNDRAM,  MADURAVOYAL,  VAANAGARAM,  VELAPPANCHAVADI,  KUMUNANCHAVADI,  POONAMALLEE,  NAZARATHPET,  THIRUMAZHISAI TEMPLE,  JAI HIND MAT.SCHOOL,  KAVALCHERY PANCHAYAT,  VAYANALLUR,  CHITHUKADU KOOT ROAD,  AMUDURAMEDU,  THANDARAI, PATTABIRAM"
M21A,971,24,"TAMBARAM, T.B.SANATORIUM,  VARADHARAJA THEATER,  KUMARAN KUNDRAM,  HASTHINAPURAM,  JAYENDIRA NAGAR,  S.I.V.E.T,  JN.OF.VLY-TBM RD&MVKM-K.K,  MEDAVAKKAM COLONY,  NARAYANAPURAM,  MADIPAKKAM RD. JN., VIJAYA NAGAR"
M21G,1461,36,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  CONVENT,  MANDAVELI,  ADYAR GATE,  KOTTURPURAM,  ENG.COLLEGE,  CONCORDE, GUINDY TVK ESTATE"
M21V,1469,36,"CENTRAL, P.OR & SONS,  WESLEY H.S,  Y.M.I.A,  MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR DEPOT,  LATTICE BRIDGE,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP, OKKIYAM THORAIPAKKAM SEC."
M27,1458,36,"T.NAGAR, BHARATHI NAGAR(PERIYAR PA,  TRUSTPURAM,  VADAPALANI B.S,  VIRUGAMBAKKAM,  CHINMAYA NAGAR,  KOYAMBEDU P.S, C.M.B.T."
M45K,1482,37,"SAIDAPET, CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE,  VIJAYA NAGAR,  A.V.CONSTRUCTION,  PONNIAMMAN KOIL RD. JN.,  MADIPAKKAM KOOT ROAD,  KILKATTALAI,  PERUMAL KOIL, PALLAVARAM GATE"
M49,968,24,"THIRUVANMIYUR, ADAYAR DEPOT,  ADAYAR B.S,  ENG.COLLEGE,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM RD. JN.,  PORUR, RAMACHANDRA MEDL.COLLEGE"
M49CT,971,24,"THIRUVANMIYUR, ADAYAR DEPOT,  ADAYAR B.S.,  ENG.COLLEGE,  CIPET, GUINDY TVK ESTATE"
M511,1466,36,"TAMBARAM, IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR,  VANDALOOR ZOO,  OORAPAKKAM SCHOOL,  PALAKKA COMPANY,  GUDUVANCHERY,  THAILAPURAM,  MARAIMALAI NAGAR,  FORD,  MALROSAPURAM,  S.P.KOIL,  MAHENDRA CITY(CHETTY PUNN,  PULIPAKKAM,  CHENGLEPET O.T., CHENGLEPET N.T."
M52BET,1471,36,"POZHICHALUR, PAMMAL,  PALLAVARAM,  CHROMPET,  KUMARAN KUNDRAM, HASTHINAPURAM"
M52ET,1463,36,"POZHICHALUR, PAMMAL,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM,  TAMBARAM,  IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR,  VANDALOOR ZOO,  OORAPAKKAM SCHOOL,  PALAKKA COMPANY, GUDUVANCHERY"
M54,1471,36,"T.NAGAR, SAIDAPET,  CONCORDE,  GUINDY TVK ESTATE,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI, POONAMALLEE"
M54NS,1468,36,"SAIDAPET, GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI, POONAMALLEE"
M71S,973,24,"C.M.B.T., 21.42,  Timings - C.M.B.T to Kalaignar Nagar S.C.B,  11.15,  Timings - Kalaignar Nagar to Kalaignar Nagar S.C.B,  14.11,  Timings - Kalaignar Nagar S.C.B to C.M.B.T.,  9.41,  C.M.B.T.,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  GUINDY TVK ESTATE,  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE,  VELACHERY,  I.R.T. RD.JN.,  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  PTC QUARTER / ESWARANTEMP, KANNAGI NAGAR S.C.BOARD"
M71V,1444,36,"AMBATHUR ESTATE, MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET, GUINDY TVK ESTATE"
M71ENS,1463,36,"AMBATHUR ESTATE, DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC,  AVADI CIRCLE,  KAVARAIPALAYAM,  PATTABIRAM,  NEMILICHERI, THIRUNINDRAVOOR"
M88,985,24,"VADAPALANI B.S, AYYAPPAN THANGAL,  PORUR,  MOULIVAKKAM,  PERIYAPANICHERI,  THANDALAM RD JN.,  KUNDRATHUR B.S, KUNDRATHUR MURUGAN TEMPLE"
S11A,1453,36,"THIRUVETRIYUR B.S, THIRUVOTRIYUR TEMPLE,  THANGAL,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  CENTRAL,  P.OR & SONS,  WESLEY H.S,  Y.M.I.A,  DEVANATHAN ST / MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR O.T.,  ADAYAR DEPOT, THIRUVANMIYUR"
S11B,1454,36,"THIRUVETRIYUR B.S, THIRUVOTRIYUR TEMPLE,  THANGAL,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM, TAMBARAM"
S11C,1466,36,"ENNORE, ASHOK LAYLAND,  ERNAVOOR GATE,  THIRUVETRIYUR B.S,  THIRUVOTRIYUR TEMPLE,  THANGAL,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  CENTRAL,  P.OR & SONS,  WESLEY H.S,  Y.M.I.A,  DEVANATHAN ST / MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR O.T.,  ADAYAR DEPOT, THIRUVANMIYUR"
S11E,1467,36,"ENNORE, THAZHANKUPPAM,  KOTHARI,  ASHOK LEYLAND MARK.DIV.,  I.C.I.,  CORBORUNDUM UNIVERSAL,  BUILDERS INDUSTRY,  BURMAH SHELL PETROL BUNK,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM, TAMBARAM"
S17E,1472,36,"BROADWAY, CENTRAL,  CHOOLAI P.O,  KELLEYS,  KILPAUK GARDEN,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  MOGAIPAIR ROAD JN.,  MOGAPAIR WEST, AMBATHUR ESTATE"
S17F,1479,36,"BROADWAY, CENTRAL,  DOVETON,  KELLEYS,  KILPAUK GARDEN,  ANNA NAGAR CIRCLE,  THIRUMANGALAM, ANNA NAGAR WEST"
S17H,984,24,"BROADWAY, CENTRAL,  DOVETON,  KELLEYS,  KILPAUK GARDEN,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  FIRE STATION, MOGAPAIR EAST"
S17HET,1472,36,"BROADWAY, CENTRAL,  DOVETON,  KELLEYS,  KILPAUK GARDEN,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  FIRE STATION,  MOGAPAIR EAST,  MOGAPAIR WEST, AMBATHUR ESTATE"
S11A,1465,36,"V. NAGAR, CLIVE BATTERY,  PARRYS,  CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  PONDY BAZAAR, T.NAGAR"
S11G,984,24,"BROADWAY, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  PONDY BAZAAR,  ANJUGAM SCHOOL,  GOVT. GIRLS H.SC,  Jn.OF P.T.R Rd/KAMARAJ Rd,  MUTHUMARIAMMAN KOIL, KALAIGNAR NAGAR WEST"
S11H,979,24,"BROADWAY, SECRETARIAT,  CHEPAUK,  ANNA ROAD P.O./DAMS ROAD,  T.V.S,  D.M.S,  PONDY BAZAAR,  ANJUGAM SCHOOL,  GOVT. GIRLS H.SC,  Jn.OF P.T.R Rd/KAMARAJ Rd,  MUTHUMARIAMMAN KOIL,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR, AYYAPPAN THANGAL"
S121,1478,36,"BROADWAY, CENTRAL,  DHARMAPRAKASH/PETROL BUNK,  KELLEYS,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC, AVADI"
S147C,981,24,"AMB OT, DUNLOP,  AMBATHUR ESTATE,  MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  ANNA NAGAR CIRCLE,  HOTEL ARUN,  NUNGAMBAKKAM R.S,  STERLING ROAD,  UTHAMAR GANDHISALAI (CORP,  VIDYODAYA,  PONDY BAZAAR, T.NAGAR"
S147T,1463,36,"MATHUR M.M.D.A., M.M.C,  MADHAVARAM POST BOX,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THANTHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  ANNA NAGAR CIRCLE,  HOTEL ARUN,  NUNGAMBAKKAM R.S,  MAHALINGAPURAM,  BHARATHI NAGAR(PERIYAR PA, T.NAGAR"
